id,barcode,expirationDate,price,category,quantity,name,stock,minStock,img,profitMargin,costPrice
542,,,0,tab,,Furosemide tab,-2.00,1.00,,30,
543,,,5,tab,,trufen 400 free,0.70,1.00,,30,
544,,,3,tab,,Aspirin 100 (10tab),0.00,1.00,,30,
545,,,12.5,cosmatic,,Melano Spoap Snail,7.00,1.00,,30,
546,,,12.5,cosmatic,,MELANOFREE Soap,6.00,1.00,,30,
547,,,12.5,cosmatic,,Melano Gluta Soap,4.00,1.00,,30,
548,,,12.5,cosmatic,,Melano Acne Soap,4.00,1.00,,30,
549,,,13,cosmatic,,Melanthenol Gel ,3.00,1.00,,30,
550,,,13,cosmatic,,Melanthenol Moisturizing Cream,7.00,1.00,,30,
551,,,13,cosmatic,,MELANOFREE CREAM,9.00,1.00,,30,
552,,,13,cosmatic,,Melanthenol Baby cream,12.00,1.00,,30,
553,,,29,cosmatic,,Melano Melaakne face wash,6.00,1.00,,30,
554,,,29,cosmatic,,Melano NEEM&TURMERIC face wash,2.00,1.00,,30,
555,,,29,cosmatic,,Melano CUCUMBER &ALOE VERA face wash,6.00,1.00,,30,
556,,,29,cosmatic,,Melano Acne facial Wash,4.00,1.00,,30,
557,,,27,cosmatic,,Melano Body Splash 250ml,0.00,1.00,,30,
558,,,15,cosmatic,,Melanofree cream marvel,4.00,1.00,,30,
559,,,25,cosmatic,,Melano whitening serum,4.00,1.00,,30,
560,,,20,cosmatic,,Melaakne acne serum,5.00,1.00,,30,
561,,,20,cosmatic,,Melaakne acne cream,5.00,1.00,,30,
562,,,25,cosmatic,,Melano reglisse serum,5.00,1.00,,30,
563,,,13,oint,,Demovate ointment,10.00,1.00,,30,
564,,,18,tab,,Pandol Advanc 48 tab,2.00,1.00,,30,
565,0,10/1/27,48,tab,,LIMItess powr MAX,1.00,1.00,,30,
566,,,18,tab,,Brilliant 8 tab,0.00,1.00,,30,
567,,,14,amp,,Adwiflam 6 Amp,0.17,1.00,,30,
568,,,12.5,amp,,dexamthazone-MUP 5 amp,0.60,1.00,,30,
569,6.22401E+12,4/1/27,42,cap,,Isotretinoin 20Mg 30 Soft Gelatin Caps (As Curatan),5.00,1.00,,30,
570,,,45,cosmatic,,Lapinza SPF 50% ,2.00,1.00,,30,
571,,,16,lotion,,Ectomethrin lotion,0.00,1.00,,30,
572,6.223E+12,10/1/28,6,eff,,Flu-C EFFer.,7.17,1.00,,30,
573,,,0,other,,شاش مربعات,0.00,1.00,,30,
574,,,18,susp,,Amoxicillin and Clavulanate Potassium 312.5,7.00,1.00,,30,
575,,,1,other,,شاش لفاف 10سم  نور,88.00,1.00,,30,
576,,,0.47,other,,شاش لفاف 5سم نور,83.00,1.00,,30,
577,6.22115E+12,11/1/27,15.5,tab,,CLAVIMOX 625mg 12 tab,1.17,1.00,,30,
578,6.22115E+12,10/1/27,15.5,tab,,CLAVIMOX 1 gm  12 tab,5.67,1.00,,30,
579,6.22108E+12,10/1/28,24,inh,,Metrohaler 30cap,4.00,1.00,,30,
580,6.22116E+12,10/23/28,14,cosmatic,,Sunsilk shampo 600ml,6.00,1.00,,30,
581,0315086987344,11/1/28,27,cosmatic,,B12 shampoo,1.00,1.00,,30,
582,,,27,cosmatic,,B12 hair cream,0.00,1.00,,30,
583,,,14,cosmatic,,Vasline lotion Cocoa Glow 400ml,1.00,1.00,,30,
584,,,14,cosmatic,,Vasline lotion Advanced Repair,1.00,1.00,,30,
585,,,14,cosmatic,,Vasline lotionDry Skin Repair,1.00,1.00,,30,
586,,,14,cosmatic,,Felce azzurra Talco,1.00,1.00,,30,
587,,,12,cosmatic,,EVA facial wash blue,1.00,1.00,,30,
588,,,12,cosmatic,,EVA facial wash green,1.00,1.00,,30,
589,,,12,cosmatic,,EVA facial wash moove,1.00,1.00,,30,
590,,,15,cosmatic,,best hair cream,1.00,1.00,,30,
591,,,5,cosmatic,,سنفرة  وجه,3.00,1.00,,30,
592,,,15,cosmatic,,PALMERS Hair cream,1.00,1.00,,30,
593,,,8,cosmatic,,Vatica hair oil ,4.00,1.00,,30,
594,,,8,cosmatic,,NIVEA SOFT  Cream 100ml,1.00,1.00,,30,
595,,,12.5,cosmatic,,NIVEA SOFT  Cream 200ml,0.00,1.00,,30,
596,,,8,cosmatic,,Rexona roll 50ml  ,5.00,1.00,,30,
597,,,4,cosmatic,,Rexona roll 20ml,3.00,1.00,,30,
598,,,5,cosmatic,,Vebix max DEO CREAM MYSTIC  WOMEN,0.00,1.00,,30,
599,,,5,cosmatic,,Vebix max DEO CREAM BLUE ACTIVE  MAN,1.00,1.00,,30,
600,,,5,cosmatic,,Vebix max DEO CREAM CLASSIC MAN,2.00,1.00,,30,
601,,,14,cosmatic,,ULTAR MAX deo stick 73gm,1.00,1.00,,30,
602,,,12,cosmatic,,NIVEA stick dry comfort 50ml,1.00,1.00,,30,
603,,,7,other,,مشط ,2.00,1.00,,30,
604,,,10,cosmatic,,Fem hair removal cream chamomile,2.00,1.00,,30,
605,,,10,cosmatic,,Fem hair removal cream ROSE,0.00,1.00,,30,
606,,,10,cosmatic,,Fem hair removal cream  Sandal,2.00,1.00,,30,
607,,,7.5,cosmatic,,Aceton 100ml,3.00,1.00,,30,
608,,,6,cosmatic,,Melanocool cream 70 ml new,1.00,1.00,,30,
609,,,9,cosmatic,,Melanocool cream 200 ml new,0.00,1.00,,30,
610,,,22,cosmatic,,Luenco aloe sun screen spf 60,1.00,1.00,,30,
611,,,13,cosmatic,,Gillette DEO gel 70ml,0.00,1.00,,30,
612,,,22,cosmatic,,MELANO retinol skin serum,1.00,1.00,,30,
613,,,20,cosmatic,,HIGH LIFE creamكريم فرد شعر ,2.00,1.00,,30,
614,,,8,cosmatic,,NiVEA ROLL dry comfort,17.00,1.00,,30,
615,,,5,cosmatic,,Banat hair oil,2.00,1.00,,30,
616,,,13,cosmatic,, DABER Amla  kids hair oil   200ml,0.00,1.00,,30,
617,,,12,cosmatic,,Rexona stick 40g,4.00,1.00,,30,
618,,,12,cosmatic,,Dove stick 40g,41.00,1.00,,30,
619,,,15,cosmatic,,Lady speed stick,0.00,1.00,,30,
620,,,15,cosmatic,,AMLA hair oil 280ml,2.00,1.00,,30,
621,,,22,cosmatic,,GRNIER SKIN ACTIVE MICELLAR,1.00,1.00,,30,
622,,,4,cosmatic,,كريم مزيل العرق ديار القرشي,5.00,1.00,,30,
623,,,9,cosmatic,,SPECTRA 3X SPRAY,0.00,1.00,,30,
624,,,13,cosmatic,,ADAM SPRAY,0.00,1.00,,30,
625,,,18,cosmatic,,DELOR HAIR SERUM,0.00,1.00,,30,
626,,,22,cosmatic,,Sudocrem   cream 125g  dubai,2.00,1.00,,30,
627,8.71895E+12,6/1/27,16,cosmatic,,palmolive shower gel,1.00,1.00,,30,
628,8.8882E+12,8/11/28,25,cosmatic,,Enshanteur shampoo 650gm,2.00,1.00,,30,
629,,,12,cosmatic,,كولونيا جديد 555,0.00,1.00,,30,
630,,,17,cosmatic,,ARGAN SHAMPOO BLACK,1.00,1.00,,30,
631,,,17,cosmatic,,ARGAN SHAMPOO BROWN,-1.00,1.00,,30,
632,,,20,cosmatic,,Colgate MW soft mint,0.00,1.00,,30,
633,,,11,other,,Gillette blue  5+1,4.00,1.00,,30,
634,,,25,other,,Gillette blue  10+4,0.00,1.00,,30,
635,,,9,other,,Gillette Simply Venus  5,2.00,1.00,,30,
636,,,5,other,,colgate tooth brush (3) ,6.00,1.00,,30,
637,,,0.625,other,,نكاشات اذن بكيت,14.00,1.00,,30,
638,,,3,other,,نكاشات اذن علبة,0.00,1.00,,30,
639,,,1.834,cosmatic,,حنة امير  اسود,0.00,1.00,,30,
640,,,6,cosmatic,,Signal tooth past,0.00,1.00,,30,
641,,,5.5,cosmatic,,Close up tooth paste large,0.00,1.00,,30,
642,,,4,cosmatic,,Close up tooth paste small,4.00,1.00,,30,
643,,,11,cosmatic,,مسك طهارة 3في 1,0.00,1.00,,30,
644,,,5,cosmatic,,Fair and lovely cream,0.00,1.00,,30,
645,,,15,cosmatic,,4me hair gel,1.00,1.00,,30,
646,,,20,cosmatic,,Vaseline Lotion 320ml,3.00,1.00,,30,
647,,,7,amp,,declophen 75mg 3amp,6.33,1.00,,30,
648,,,12,amp,,EPIGENT 80MG/2ML AMP 3AMP,5.00,1.00,,30,
649,,,12,vial,,Heparin vial,3.00,1.00,,30,
650,,,2.5,amp,,lasix amp new,10.00,1.00,,30,
651,,,25,syrup,,EGY PEDiCAL syrup,1.00,1.00,,30,
652,,,35,tab,,SUCARIN ,2.00,1.00,,30,
653,6.223E+12,11/1/27,13,tab,,Flamotal 600 20tab,4.70,1.00,,30,
654,,,25,other,,black gloves,0.00,1.00,,30,
655,,,11.67,syrup,,chlorphenamine 2mg/5ml syrup 150ml,7.00,1.00,,30,
656,6.25159E+12,7/1/28,58,tab,,Zinaxim500mg 20tab,1.00,1.00,,30,
